,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
41,52588.81481481482,67.21480535649783,2.288160633709935,0.034193962382808966,3.5260672778846636,2.384132023447544,0.6663715067129158,53004.01388888888,72.79267934707335,2.1701957571039707,0.02989772743650885,3.4522093192026686,2.43288138834039,0.6953955606813114,6315_6965,2.0,1.0,1.0,42,2,42,1,42,1,42,43,1,41,43,417,FL-417 N,N,Freeway,0.204037806176,0.00297112715967,6315,6965,N,2,65863,6,417,96500,65863,70,51,70.0,0.00297112715967
42,53221.49228395062,68.07848731058603,2.7941535716202472,0.04126337354133577,3.4295433101661272,2.2598319306982138,0.6485521039836748,52588.81481481482,67.21480535649783,2.288160633709935,0.034193962382808966,3.5260672778846636,2.384132023447544,0.6663715067129158,6314_6315,6.0,6.0,0.0,43,2,43,1,43,1,43,44,1,42,44,417,FL-417 N,N,Freeway,0.395918647817,0.005789666982879999,6314,6315,N,2,65863,6,417,96500,65863,70,46,70.0,0.005789666982879999
43,44923.787928221864,69.40904405071103,2.7993915347246494,0.040809347910654534,3.7265525141033935,2.7178224409121445,0.7107420481483998,8690.87284144427,44.64064790190928,2.837358230765496,0.06359872605276529,3.3214395176624145,2.400504796269145,0.7138018256394645,6035_2529,11.0,8.0,3.0,44,2,44,1,44,1,44,45,1,43,45,417,FL-417 N,N,Freeway,0.40192583353699995,0.0060892041017200004,6035,2529,N,2,65863,4,417,97500,65863,70,0,70.0,0.0060892041017200004
44,44923.787928221864,69.40904405071103,2.7993915347246494,0.040809347910654534,3.7265525141033935,2.7178224409121445,0.7107420481483998,44923.787928221864,69.40904405071103,2.7993915347246494,0.040809347910654534,3.7265525141033935,2.7178224409121445,0.7107420481483998,6035_11878,1.0,1.0,0.0,45,2,45,1,45,1,45,46,1,44,46,417,FL-417 N,N,Freeway,0.0296119310084,0.000435862153195,6035,11878,N,2,65863,4,417,97500,65863,70,0,70.0,0.000435862153195
45,40832.152037617554,67.4525493907911,3.977832895248784,0.059940217000649276,4.223590539785713,3.131386147764496,0.7234604968394777,48872.64351851852,66.34370769298769,2.45828095769492,0.037375952726210436,2.5786885286555945,1.8862641617403857,0.6958662573287492,11876_8570,38.0,29.0,9.0,46,2,46,1,46,1,46,47,1,45,47,417,FL-417 N,N,Freeway,0.639957559946,0.00990412369953,11876,8570,E,2,65863,5,408,74500,65863,65,64,70.0,0.00990412369953
46,48872.64351851852,66.34370769298769,2.45828095769492,0.037375952726210436,2.5786885286555945,1.8862641617403857,0.6958662573287492,46234.51234567902,67.34439069174978,5.018401516792932,0.3192072518163166,3.4168079924980623,2.9052500157678653,0.7875361410834736,8570_6966,17.0,10.0,7.0,47,2,47,1,47,1,47,48,1,46,48,417,FL-417 N,N,Freeway,0.312125223583,0.00480051737589,8570,6966,N,2,65863,6,417,71707,65863,70,68,70.0,0.00480051737589
47,46234.51234567902,67.34439069174978,5.018401516792932,0.3192072518163166,3.4168079924980623,2.9052500157678653,0.7875361410834736,48462.34316770187,68.47665562575146,4.141668052581478,0.061349067878499364,3.022526281057657,2.533117762738409,0.7807254890443264,6966_8451,19.0,14.0,5.0,48,2,48,1,48,1,48,49,1,47,49,417,FL-417 N,N,Freeway,0.535070828701,0.00783213880238,6966,8451,N,2,65863,6,417,65522,65863,70,54,70.0,0.00783213880238
48,48739.279320987655,74.18471828292563,2.66630629539237,0.03623211913298727,4.850988549180963,3.422398534746588,0.6923178854875168,44923.787928221864,69.40904405071103,2.7993915347246494,0.040809347910654534,3.7265525141033935,2.7178224409121445,0.7107420481483998,6689_11878,17.0,9.0,8.0,49,2,49,1,49,1,49,50,1,48,50,417,FL-417 N,N,Freeway,0.70811926113,0.0102989237466,6689,11878,N,2,65863,4,417,97500,65863,70,0,70.0,0.0102989237466
49,8690.87284144427,44.64064790190928,2.837358230765496,0.06359872605276529,3.3214395176624145,2.400504796269145,0.7138018256394645,40832.152037617554,67.4525493907911,3.977832895248784,0.059940217000649276,4.223590539785713,3.131386147764496,0.7234604968394777,2529_11876,9.0,5.0,4.0,50,2,50,1,50,1,50,51,1,49,51,417,FL-417 N,N,Freeway,0.155378793407,0.00240078685003,2529,11876,N,2,65863,6,417,71707,65863,70,0,70.0,0.00240078685003
50,29400.73953488372,60.69041815634672,6.598149322233211,0.1104340306404412,3.4958089328501023,3.4687533775848105,0.9137301408078564,37865.93672839506,67.6879221217049,8.022213360925479,0.12117989882979673,3.8922684961764866,4.671263735053913,1.0683783034917114,8585_8449,2.0,1.0,1.0,51,2,51,1,51,1,51,52,1,50,52,417,FL-417 N,N,Freeway,0.20390281506400001,0.0030202831452900004,8585,8449,N,2,65863,5,417,86381,65863,70,53,70.0,0.0030202831452900004
