,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
40,16,3515.9507494646678,52.045795121947314,4.956656867533201,0.1048372283111332,10.616234612199417,2.675364038208793,0.2361157956720157,3383.763948497854,49.32393869393601,7.3349439348486705,0.18412833957099686,16.091753043590494,5.0923525628427715,0.2899406550557366,7010_6916,2.0,2.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
41,17,3761.098501070664,40.61597261340261,5.456883334979931,0.1347504000070926,16.051563921636397,3.4250308819050814,0.22665138713143965,3385.75321888412,31.12212046169933,8.325818122100612,0.28289172761030024,28.958417235978928,7.1443311013005975,0.2747378337444075,7010_6916,4.0,3.0,1.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
42,18,2618.867237687366,54.69947918857768,7.297920385435089,0.14845773694854075,7.884024083539196,3.832467911469484,0.4361419189497625,2546.1587982832616,52.6903113318886,10.964549659886035,0.2484459875926375,12.209467356677651,7.487547545228093,0.571925185002107,7010_6916,3.0,3.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
43,19,1698.5386266094422,61.94025027220731,1.8105599181149887,0.029800986655734468,3.5077029416053995,0.6371800453142229,0.17584692665798024,1711.8752688172046,63.81004616808913,1.5312043331619751,0.02509723325026653,3.8860398347172542,0.7273520880297788,0.1752703486055657,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
44,20,1309.5021459227466,62.237438973017,1.90703947659928,0.030700141250057583,2.760754049656964,0.4641583943719639,0.1703164385386538,1324.494623655914,63.828631367751605,1.5241518637232077,0.02393147130431663,2.8610858072648195,0.462242044590616,0.1633019257034117,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
45,21,1216.2334047109207,62.25019410106306,1.9792465599632851,0.03225679338902017,2.7180099274841094,0.4915205103733507,0.18016264289451167,1224.2532188841199,63.9513620254257,1.5038165869285396,0.023606059335602874,2.724661494738553,0.4581853113841054,0.16658587819281034,7010_6916,1.0,1.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
46,22,1117.4197002141327,62.472060329425624,1.998335571895416,0.03281191512201508,2.596466932537295,0.5285205901019737,0.1947161058698792,1134.9570815450645,63.88447549184973,1.5740265498121109,0.026375889392064148,2.6458274982575087,0.5158828714857785,0.18388843788984435,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
47,23,1016.7087794432547,63.43259871458865,1.9849909354536488,0.03141549381580517,2.335089219347104,0.4686670812211242,0.20177973463835425,1035.4463519313306,64.63472865319821,1.5988508704605762,0.024776921090323333,2.3142654865672334,0.45021649324010826,0.19460274063720212,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
48,0,592.9849462365593,65.95053875186944,2.0386789332309254,0.031043035235564675,1.30085872112754,0.40580533610492137,0.314942106974168,605.2786177105831,74.29411597072237,1.8050420667301776,0.02513224373684147,1.7605215868444806,0.5751341298323741,0.3117674390531042,6916_6959,0.0,0.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
49,1,306.8709677419355,66.82859814468688,2.543509602602545,0.038056283042477934,0.7157269875683849,0.2837736336619033,0.4151366945990996,312.97408207343415,74.00786358519893,2.41562952042533,0.032782336500812234,0.8920972860632689,0.35713579615987423,0.4083092209479661,6916_6959,0.0,0.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
